95.7959445496	22.7057487463
95.7957959489	22.7136004247
95.7960584771	22.7214491198
95.7967314144	22.7292733189
95.7978129164	22.7370515764
95.7993000188	22.7447625726
95.8011886455	22.7523851722
95.8034736199	22.7598984822
95.8061486792	22.7672819092
95.8092064911	22.7745152157
95.8126386744	22.7815785757
95.8164358217	22.7884526289
95.8205875252	22.7951185342
95.8250824056	22.8015580208
95.8299081425	22.8077534383
95.8350515091	22.8136878058
95.8404984076	22.8193448573
95.8462339086	22.8247090874
95.8522422913	22.8297657932
95.8585070873	22.8345011144
95.8650111252	22.8389020719
95.8717365779	22.842956603
95.8786650113	22.8466535946
95.8857774351	22.8499829133
95.8930543547	22.8529354338
95.9004758245	22.8555030635
95.9080215028	22.8576787646
95.9156707074	22.8594565737
95.9234024724	22.8608316179
95.9311956055	22.8618001284
95.9390287463	22.8623594504
95.9468804247	22.8625080511
95.9547291198	22.8622455229
95.9625533189	22.8615725856
95.9703315764	22.8604910836
95.9780425726	22.8590039812
95.9856651722	22.8571153545
95.9931784822	22.8548303801
96.0005619092	22.8521553208
96.0077952157	22.8490975089
96.0148585757	22.8456653256
96.0217326289	22.8418681783
96.0283985342	22.8377164748
96.0348380208	22.8332215944
96.0410334383	22.8283958575
96.0469678058	22.8232524909
96.0526248573	22.8178055924
96.0579890874	22.8120700914
96.0630457932	22.8060617087
96.0677811144	22.7997969127
96.0721820719	22.7932928748
96.076236603	22.7865674221
96.0799335946	22.7796389887
96.0832629133	22.7725265649
96.0862154338	22.7652496453
96.0887830635	22.7578281755
96.0909587646	22.7502824972
96.0927365737	22.7426332926
96.0941116179	22.7349015276
96.0950801284	22.7271083945
96.0956394504	22.7192752537
96.1719332601	21.028900576
96.2295647599	20.3824736416
96.4670733224	18.820025009
96.7647361604	17.3449409883
96.766087512	17.3372050472
96.7670321437	17.3294089837
96.7675674664	17.3215741661
96.7676920128	17.3137220693
96.7674054416	17.3058742153
96.7667085381	17.2980521145
96.7656032125	17.2902772066
96.7640924946	17.2825708023
96.762180525	17.2749540243
96.7598725443	17.2674477495
96.7571748786	17.2600725521
96.7540949219	17.2528486472
96.7506411162	17.2457958348
96.7468229281	17.2389334463
96.7426508231	17.232280291
96.7381362366	17.2258546047
96.7332915427	17.2196739998
96.7281300204	17.2137554168
96.7226658171	17.2081150783
96.7169139098	17.202768444
96.7108900641	17.1977301687
96.7046107909	17.1930140618
96.6980933012	17.18863305
96.6913554591	17.1845991412
96.6844157325	17.1809233922
96.6772931428	17.1776158779
96.6700072123	17.174685664
96.6625779114	17.1721407819
96.6550256033	17.1699882071
96.6473709883	17.1682338396
96.6396350472	17.166882488
96.6318389837	17.1659378563
96.6240041661	17.1654025336
96.6161520693	17.1652779872
96.6083042153	17.1655645584
96.6004821145	17.1662614619
96.5927072066	17.1673667875
96.5850008023	17.1688775054
96.5773840243	17.170789475
96.5698777495	17.1730974557
96.5625025521	17.1757951214
96.5552786472	17.1788750781
96.5482258348	17.1823288838
96.5413634463	17.1861470719
96.534710291	17.1903191769
96.5282846047	17.1948337634
96.5221039998	17.1996784573
96.5161854168	17.2048399796
96.5105450783	17.2103041829
96.505198444	17.2160560902
96.5001601687	17.2220799359
96.4954440618	17.2283592091
96.49106305	17.2348766988
96.4870291412	17.2416145409
96.4833533922	17.2485542675
96.4800458779	17.2556768572
96.477115664	17.2629627877
96.4745707819	17.2703920886
96.4724182071	17.2779443967
96.4706638396	17.2855990117
96.1722848396	18.7642320117
96.1710245715	18.7713603891
95.9322735715	20.3419823891
95.9311626014	20.3512047437
95.8728266014	21.0055337437
95.8723865496	21.0120907463
95.7959445496	22.7057487463
